"System","Disease","Pedia_FirstLine","Pedia_SecondLine","Adult_FirstLine","Adult_SecondLine","Remarks"
"Upper Respiratory Tract Infection","Necrotizing Otitis Externa","Ceftazidime 100–150 mg/kg/day IV divided every 8 hours.","Piperacillin-tazobactam 300 mg/kg/day IV divided every 8 hours.","Piperacillin-tazobactam 4.5 g IV every 8 hours.","Piperacillin-tazobactam 4.5 g IV every 6 hours +/- an Aminoglycoside.","Primarily caused by P. aeruginosa. Requires 4–6 weeks of therapy if bone involvement is confirmed by CT/MRI."
"Upper Respiratory Tract Infection","Acute Otitis Media (AOM)","Amoxicillin 80–90 mg/kg/day PO divided every 12 hours.","Clinical Failure: High-dose Co-amoxiclav 90 mg/kg/day PO divided every 12 hours.","Amoxicillin 1 g every 8 hours for 10 days.","Co-amoxiclav 875/125 mg PO every 12 hours for 10 days.","For children >2 years with mild symptoms, observation for 48 hours is an option before starting antibiotics."
"Upper Respiratory Tract Infection","Acute Mastoiditis","Ceftriaxone 100 mg/kg/day IV divided every 12 hours PLUS Oxacillin 150–200 mg/kg/day IV divided every 6 hours.","N/A","Ceftriaxone 2 g IV daily or Levofloxacin 750 mg IV daily.","Vancomycin PLUS Piperacillin-tazobactam 3.375 g IV every 6 hours.","Usually a complication of AOM; requires CT/MRI scan to check for intracranial extension (e.g., brain abscess)."
"Upper Respiratory Tract Infection","Laryngitis","No antibiotics indicated.","N/A","No antibiotics indicated.","N/A","Over 90% of cases are viral; treatment is supportive."
"Lower Respiratory Tract Infection","Bronchiolitis / Wheezy Bronchitis","Antibiotics are not indicated unless there is evidence of secondary bacterial infection.","N/A","Antibiotics are not indicated.","N/A","The mainstay of therapy is supportive care, including hydration and supplemental oxygen. Aerosolized Ribavirin is not available in the Philippines."
"Lower Respiratory Tract Infection","Acute Bronchitis","Antibiotics are indicated only if there is associated sinusitis or heavy growth on throat culture for S. pneumoniae Group A Streptococci or H. influenzae.","N/A","Antibiotics are usually not indicated.","N/A","Purulent sputum alone is not an indication for antibiotic therapy. Cough can be expected to last for 2 weeks."
"Lower Respiratory Tract Infection","Pertussis (Whooping Cough)","<6m: Azithromycin 10 mg/kg/day PO for 5 days OR Erythromycin 40 mg/kg/day divided every 6 hours for 14 days.",">6m: Azithromycin 10 mg/kg PO on Day 1 then 5 mg/kg/day on Days 2–5 OR Clarithromycin 7.5 mg/kg PO every 12 hours for 7 days (Max: 1 g/day ).","Azithromycin 500 mg PO on Day 1 then 250 mg daily on Days 2–5 OR Erythromycin 500 mg PO qid for 14 days OR Co-trimoxazole 160/800 mg PO bid for 14 days.","N/A","Treatment aims to eradicate nasopharyngeal carriage. Prophylaxis is recommended for household contacts using similar regimens."
"Lower Respiratory Tract Infection","Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)","N/A","N/A","Mild/Moderate: Amoxicillin 500 mg tid OR Doxycycline 100 mg PO bid OR Cefuroxime 500 mg PO bid for 5–10 days.","Severe: Co-amoxiclav 875/125 mg bid OR Azithromycin 500 mg daily for 3 days OR Clarithromycin 500 mg PO bid OR Levofloxacin 500 mg PO daily.","Antibiotics are indicated if the patient has increased dyspnea sputum volume and sputum purulence. Usually occurs in smokers with COPD."
"Lower Respiratory Tract Infection","Community-Acquired Pneumonia (CAP) - Neonates","Ampicillin 100–200 mg/kg/day IV divided every 6 hours OR Penicillin G 100,000–250,000 U/kg/day IV divided every 4–6 hours.","Severe Infections: Add Amikacin 15 mg/kg/day IV OR Gentamicin 5 mg/kg/day IV.","N/A","N/A","Immunize against Pneumococcus and Hib starting at 6 weeks of age."
"Lower Respiratory Tract Infection","CAP - Infants and Children (PCAP A/B - Non-severe)","Complete Hib Vax: Amoxicillin 80–90 mg/kg/day PO divided every 12 hours for 5 days.","Incomplete Hib Vax: Co-amoxiclav 80–90 mg/kg/day PO divided every 12 hours (14:1 preparation) OR Cefuroxime 20–30 mg/kg/day PO divided every 12 hours.","N/A","N/A","Oral Amoxicillin and IV Penicillin have equal efficacy if feeding is tolerated. Use ""High Dose"" Co-amoxiclav preparations (14:1)."
"Lower Respiratory Tract Infection","CAP - Infants and Children (PCAP C - Severe)","Complete Hib Vax: Penicillin G 200,000 U/kg/day IV divided every 6 hours OR Ampicillin 200 mg/kg/day IV divided every 6 hours.","Incomplete Hib Vax: Ampicillin-sulbactam 100 mg/kg/day IV divided every 6 hours OR Cefuroxime 100 mg/kg/day IV divided every 8 hours OR Ceftriaxone 100 mg/kg/day IV divided every 12 hours.","N/A","N/A","Switch from IV to oral therapy once the patient is responding feeding well and free of complications."
"Lower Respiratory Tract Infection","CAP - Adults (Low Risk)","N/A","N/A","No co-morbids: Amoxicillin 1 g PO tid OR Azithromycin 500 mg PO daily OR Clarithromycin 500 mg PO bid.","With co-morbids: Co-amoxiclav 1 g PO bid OR Cefuroxime axetil 500 mg PO bid ± a macrolide.","Duration for S. pneumoniae is 5–7 days (3–5 days if using Azithromycin). Fluoroquinolones are not recommended as first-line for low-risk CAP."
"Lower Respiratory Tract Infection","CAP - Adults (Moderate Risk)","N/A","N/A","Ampicillin-sulbactam 1.5 g IV every 6 hours OR Cefuroxime 1.5 g IV every 8 hours OR Ceftriaxone 2 g IV every 24 hours PLUS Azithromycin 500 mg PO daily OR Clarithromycin 500 mg PO bid OR Levofloxacin 750 mg PO daily.","N/A","Monotherapy with Fluoroquinolones is not recommended due to increasing GNB resistance."
"Lower Respiratory Tract Infection","CAP - Adults (High Risk)","N/A","N/A","No Pseudomonas risk: (Ceftriaxone 2 g IV every 24 hours OR Ertapenem 1 g IV every 24 hours) PLUS (Azithromycin 500 mg IV daily OR Levofloxacin 750 mg IV daily).","With Pseudomonas risk: (Piperacillin-tazobactam 4.5 g IV every 6 hours OR Cefepime 2 g IV every 8–12 hours OR Meropenem 1 g IV every 8 hours) PLUS Azithromycin 500 mg IV daily.","If MRSA is suspected add Vancomycin (25–30 mg/kg loading dose then 15–20 mg/kg IV every 8–12 hours)."
"Lower Respiratory Tract Infection","Acute Empyema and Lung Abscess","Clindamycin 25–40 mg/kg/day IV divided every 6–8 hours PLUS Ceftriaxone 50–100 mg/kg/day IV every 24 hours.","N/A","(Clindamycin 600 mg IV every 8 hours OR Ampicillin-sulbactam 3 g IV every 6 hours) PLUS (Ceftriaxone 2 g IV every 24 hours for GNB coverage).","N/A","Lung abscess treatment usually lasts 4–6 weeks. Empyema requires systemic antibiotics and drainage."
"Lower Respiratory Tract Infection","Hospital-Acquired Pneumonia (HAP) / Ventilator-Associated Pneumonia (VAP)","N/A","N/A","No mortality risk/No MRSA: Piperacillin-tazobactam 4.5 g IV every 6 hours OR Cefepime 2 g IV every 8 hours OR Meropenem 1 g IV every 8 hours.","High mortality risk or MRSA: Above regimen PLUS Vancomycin 15–20 mg/kg IV every 8–12 hours OR Linezolid 600 mg IV every 12 hours.","Standard duration is 7 days. De-escalate therapy based on culture and susceptibility results."
"Lower Respiratory Tract Infection","Influenza","Oseltamivir: <15 kg (30 mg bid); >15–23 kg (45 mg bid); >23–40 kg (60 mg bid); >40 kg (75 mg bid) for 5 days.","N/A","Oseltamivir 75 mg PO bid for 5 days.","N/A","Most effective when started early. Annual vaccination is the primary prevention."
"Lower Respiratory Tract Infection","Allergic Bronchopulmonary Aspergillosis","N/A","N/A","Itraconazole 200 mg PO bid for 16 weeks or longer.","N/A","Characterized by wheezing and pulmonary infiltrates. Corticosteroids are used for acute attacks."
"Ocular Infections","Blepharitis","Topical antibiotic ointment is usually of no benefit.","N/A","Topical antibiotics for symptoms. If associated with acne rosacea: Doxycycline 100 mg PO bid x 2 weeks then once daily.","N/A","Treatment requires long-term commitment to lid hygiene using warm compresses and lid washing with a baby shampoo/water mixture."
"Ocular Infections","Hordeolum (Stye)","Cloxacillin 100–150 mg/kg PO divided every 6 hours.","N/A","For MSSA: Cloxacillin 250–500 mg PO every 6 hours. For CA-MRSA: Co-trimoxazole 160/800 mg (2 tabs) PO bid. For HA-MRSA: Linezolid 600 mg PO bid.","N/A","External hordeolum generally requires no antibiotics only warm compresses. Internal hordeolum may require incision and drainage if an abscess points."
"Ocular Infections","Orbital Cellulitis","Vancomycin 45–60 mg/kg/day IV divided every 6 hours PLUS Ceftriaxone 100 mg/kg/day IV in 1–2 doses (Max: 4 g/day ).","N/A","If MRSA not suspected: Piperacillin-tazobactam 4.5 g IV every 8 hours OR Ciprofloxacin 400 mg IV every 8–12 hours PLUS Clindamycin 600 mg IV every 8 hours. If MRSA suspected: Vancomycin 1 g IV every 12 hours PLUS Ceftriaxone 1 g IV every 12 hours.","N/A","This is a life-threatening emergency with a risk of cavernous sinus thrombosis. Surgical debridement is needed if medical management fails within 24–36 hours."
"Ocular Infections","Dacryocystitis (Lacrimal Sac)","Vancomycin 40 mg/kg/day IV divided every 6 hours PLUS Ceftazidime 100 mg/kg/day IV divided every 8 hours.","N/A","Mild infection: Cephalexin 500 mg PO qid OR Co-amoxiclav 875 mg PO bid OR Co-trimoxazole 160/800 mg (2 tabs) PO bid. Severe (with orbital cellulitis): Vancomycin 15–20 mg/kg/day IV every 8–12 hours PLUS Ceftriaxone 2 g IV every 24 hours.","N/A","Adjust therapy based on Gram stain and cultures of the aspirate."
"Ocular Infections","Conjunctivitis of the Newborn","Gonococcal: Ceftriaxone 25–50 mg/kg IV x 1 dose (Max: 125 mg).","Chlamydia: Erythromycin 12.5 mg/kg PO every 6 hours x 14 days OR Azithromycin 20 mg/kg PO daily x 3 days. Herpes/HSV: Aciclovir 60 mg/kg/day IV divided every 8 hours x 14 days.","N/A","N/A","Neonatal gonococcal conjunctivitis requires irrigation with saline to remove discharge and treatment of the mother and partner."
"Ocular Infections","Bacterial (Non-gonococcal) Conjunctivitis","Levofloxacin OR Tobramycin OR Erythromycin OR Fusidic acid eye drops: 1 drop tid–qid for 5–7 days.","N/A","Levofloxacin OR Tobramycin OR Erythromycin OR Fusidic acid eye drops: 1 drop tid–qid for 5–7 days.","N/A","Ointments are preferred for children as they stay on the eye longer though they blur vision. Fluoroquinolones are preferred for contact lens wearers."
"Ocular Infections","Gonococcal Conjunctivitis","N/A","N/A","Ceftriaxone 1 g IV/IM x 1 dose PLUS Azithromycin 1 g PO x 1 dose.","N/A","This can progress to corneal perforation; immediate ophthalmology consult is mandatory."
"Ocular Infections","Keratitis (Corneal Infection)","Bacterial: Levofloxacin 0.5% eye drops. If contact lens related: Ciprofloxacin 0.3% OR Tobramycin 0.3% drops: 1 drop every hour for 24–72 hours then taper.","Viral/Herpes: Ganciclovir 0.15% OR Aciclovir 3% ointment 5x/day until healed then tid x 7 days.","Bacterial: Levofloxacin 0.5% eye drops. If contact lens related: Ciprofloxacin 0.3% OR Tobramycin 0.3% drops: 1 drop every hour for 24–72 hours then taper.","Viral/Herpes: Ganciclovir 0.15% OR Aciclovir 3% ointment 5x/day until healed then tid x 7 days.","Bacterial keratitis is sight-threatening; NEVER patch the eye and do not use topical steroids in isolation."
"Ocular Infections","Endophthalmitis","N/A","N/A","Intravitreal administration of antimicrobials is essential; systemic therapy (e.g. Fluconazole 400–800 mg daily for Candida) may be used as an adjunct.","N/A","Immediate referral to a vitreo-retinal surgeon is required for potential emergency vitrectomy."
"Ocular Infections","Retinitis","N/A","N/A","HSV/VZV: Aciclovir 10–12 mg/kg IV every 8 hours x 7–10 days followed by oral therapy (Aciclovir 800 mg 5x/day OR Valaciclovir 1 g tid) for at least 6 weeks.","N/A","Acute Retinal Necrosis frequently results in retinal detachment and requires aggressive IV therapy. Watch for Immune Reconstitution Inflammatory Syndrome (IRIS) in HIV patients on ART."
"Gastrointestinal & Intra-abdominal","Acute Diarrhea and Gastroenteritis - Suspected Dysentery (Children)","Ciprofloxacin 30 mg/kg/day PO divided into 2 doses for 3 days.","N/A","N/A","N/A","The mainstay of treatment is fluids zinc supplements and food."
"Gastrointestinal & Intra-abdominal","Suspected Cholera (Children)","Erythromycin 250 mg PO qid for 3 days OR Tetracycline 250 mg PO qid for 3 days.","N/A","N/A","N/A","Antibiotics are given to children with severe dehydration living in areas with reported cholera cases."
"Gastrointestinal & Intra-abdominal","Suspected Antibiotic-Associated Colitis (Children)","Metronidazole 30 mg/kg/day IV or PO divided into 4 doses for 10–14 days OR Vancomycin 40 mg/kg/day PO divided into 4 doses for severe disease.","N/A","N/A","N/A","Mild disease does not warrant antibiotic treatment as symptoms usually resolve after discontinuing the precipitating antibiotic. Oral vancomycin is not available locally."
"Gastrointestinal & Intra-abdominal","Suspected Nontyphoidal Salmonella (Severe Diarrhea)","Infants (<6 months), malnourished, or immunocompromised children: Ciprofloxacin 30 mg/kg/day IV divided into 2 doses for 10–14 days OR Azithromycin 6 mg/kg/day PO for 5 days OR Ceftriaxone 75–100 mg/kg/day IV for 14 days.","N/A","N/A","N/A","Nontyphoidal Salmonella usually only requires antibiotics in these high-risk groups."
"Gastrointestinal & Intra-abdominal","Other Specific Pathogens (Children)","Campylobacter: Azithromycin 10 mg/kg/day PO for 3 days OR Erythromycin 40 mg/kg/day PO divided into 4 doses for 5 days. Entamoeba histolytica: Metronidazole 35–50 mg/kg/day PO divided into 3 doses for 7–10 days.","Giardia: Metronidazole 15 mg/kg/day PO divided into 3 doses for 5–7 days. Cyclospora: Co-trimoxazole 10/50 mg/kg/day PO divided into 2 doses for 7–10 days.","N/A","N/A","Specific pathogens require targeted therapy when identified."
"Gastrointestinal & Intra-abdominal","Gastroenteritis (Infectious Diarrhea) in Adults - Severe Diarrhea (Empiric)","N/A","N/A","Ciprofloxacin 500 mg PO q12h OR Levofloxacin 500 mg PO q24h for 3–5 days OR Azithromycin 500 mg PO q24h for 3 days.","N/A","Patient Population: Adult (>=6 unformed stools/day)."
"Gastrointestinal & Intra-abdominal","Specific Therapy (Adults)","N/A","N/A","Entamoeba histolytica: Metronidazole 500–750 mg PO tid for 7–10 days OR Tinidazole 2 g PO daily for 3 days. Vibrio cholerae: Doxycycline 300 mg PO single dose OR Tetracycline 500 mg qid for 3 days.","Shigella: Ciprofloxacin 500 mg PO bid for 3 days.","Specific treatments for confirmed adult enteric pathogens."
"Gastrointestinal & Intra-abdominal","Primary Spontaneous Bacterial Peritonitis (SBP) - Pediatric","S. pneumoniae: Cefotaxime 200 mg/kg/day IV divided into 4 or 6 doses OR Ceftriaxone 100 mg/kg/day IV divided into 1–2 doses.","Gram-negative bacilli: Cefotaxime 200 mg/kg/day IV OR Ceftriaxone 100 mg/kg/day IV ± Gentamicin 3–7.5 mg/kg/day IV OR Piperacillin-tazobactam 300 mg/kg/day IV.","N/A","N/A","Empiric coverage should consider the most likely pediatric pathogens."
"Gastrointestinal & Intra-abdominal","Primary Spontaneous Bacterial Peritonitis (SBP) - Adult","N/A","N/A","Cefotaxime 2 g IV q8h OR Ampicillin-sulbactam 3 g IV q6h OR Piperacillin-tazobactam 4.5 g IV q6h OR Ceftriaxone 2 g IV q24h OR Ertapenem 1 g IV q24h.","2nd line (for ESBL): Meropenem 1 g IV q8h.","Characterized by cirrhosis and >=250 neutrophils/uL of ascitic fluid. Ceftriaxone may cause bile sludge in jaundiced/cirrhotic patients."
"Gastrointestinal & Intra-abdominal","SBP Prophylaxis (Cirrhosis with Variceal Bleeding)","N/A","N/A","Norfloxacin 400 mg PO q12h for 7 days OR Ceftriaxone 1 g IV daily for 7 days.","N/A","Short-term prophylaxis is indicated in the setting of acute variceal hemorrhage."
"Gastrointestinal & Intra-abdominal","Secondary Peritonitis","(Metronidazole 22.5–40 mg/kg/day IV divided into 3 doses PLUS Cefotaxime 200 mg/kg/day IV divided into 4–6 doses) OR Piperacillin-tazobactam 300 mg/kg/day IV OR Meropenem 30–60 mg/kg/day IV.","N/A","N/A","N/A","Usually polymicrobial. May require immediate surgery to control the source of contamination."
"Gastrointestinal & Intra-abdominal","CAPD-Associated Peritonitis - Pediatric","Vancomycin 45–60 mg/kg/day IV or intraperitoneal (IP) in 3–4 doses PLUS Gentamicin 3–7.5 mg/kg/day IV divided into 3 doses.","N/A","N/A","N/A","Peritoneal dialysis associated infections require specific coverage."
"Gastrointestinal & Intra-abdominal","CAPD-Associated Peritonitis - Adult","N/A","N/A","Vancomycin added to dialysis fluid PLUS one of the following: Cefepime 2 g IV q8–12h Ceftazidime 3 g loading dose IP then 1–2 g IP q24h Meropenem 1 g IV q8h or Amikacin 15–20 mg/kg IV q24h.","N/A","Effluent WBC count >100/mm3 with >=50% polymorphonuclear leukocytes suggests diagnosis."
"Gastrointestinal & Intra-abdominal","Liver Abscess - Pediatric","Ampicillin-sulbactam 100–200 mg/kg/day IV divided into 4 doses (Max 8 g) OR Piperacillin-tazobactam 300 mg/kg/day IV OR [Ceftriaxone 100 mg/kg/day IV PLUS Metronidazole 30–50 mg/kg/day IV for 2–3 weeks then shift to oral to complete 4–6 weeks].","N/A","N/A","N/A","Requires both aerobic and anaerobic coverage."
"Gastrointestinal & Intra-abdominal","Liver Abscess - Adult","N/A","N/A","Metronidazole 500 mg PO q6–8h PLUS (Ceftriaxone 1–2 g IV daily OR Piperacillin-tazobactam 4.5 g IV q4–6h OR Ciprofloxacin 750 mg PO OR Ertapenem 1 g IV q24h).","N/A","For amebic abscess Metronidazole 750 mg IV/PO tid for 10 days is used."
"Gastrointestinal & Intra-abdominal","Gallbladder Infection (Children)","Piperacillin-tazobactam 300 mg/kg/day IV OR Ampicillin-sulbactam 100–200 mg/kg/day OR Cefotaxime 200 mg/kg/day ± Gentamicin 3.75 mg/kg/day IV.","N/A","N/A","N/A","Biliary infections in children are often related to anatomical abnormalities or stones."
"Gastrointestinal & Intra-abdominal","Acute Cholecystitis (Adults)","N/A","N/A","Mild-to-moderate: Cefazolin 1–2 g IV q8h OR Cefuroxime 1.5 g IV q8h OR Ceftriaxone 1–2 g IV q12–24h.","Severe/Elderly/Immunocompromised: Piperacillin-tazobactam 4.5 g IV q6h.","Severity of disease dictates the breadth of antibiotic coverage."
"Gastrointestinal & Intra-abdominal","Extra-biliary Infections (Perforated Appendicitis)","N/A","N/A","1st line: Cefoxitin 2 g IV q6h OR Ertapenem 1 g IV q24h.","2nd line: Metronidazole 500 mg IV PLUS Cefazolin 1–2 g IV.","Therapy for established infection should be limited to 4–7 days unless source control is difficult."
"Gastrointestinal & Intra-abdominal","Acute Pancreatitis (Infected Necrosis)","N/A","N/A","Piperacillin-tazobactam 4.5 g IV q4–6h OR Meropenem 1 g IV q8h OR (Ciprofloxacin 400 mg IV q12h PLUS Metronidazole 500 mg IV q8–12h).","N/A","Prophylactic antibiotics are not advised; they should be used when clinical factors point to infected pancreatic necrosis."
"Blood-Borne & Systemic","Neonatal Sepsis (Asymptomatic or Potentially Septic)","Ampicillin 25–50 mg/kg IV/IM (interval varies from q12h to q6h based on gestational and postnatal age) PLUS Gentamicin 4–5 mg/kg IV/IM (interval q24h to q48h) OR Amikacin 15–18 mg/kg IV/IM.","N/A","N/A","N/A","Therapy may be discontinued if blood cultures are negative after 48–72 hours and the infant remains asymptomatic. A negative CRP at 72 hours supports the decision to stop antibiotics."
"Blood-Borne & Systemic","Neonatal Sepsis (Proven or Symptomatic)","(Cefotaxime 50 mg/kg IV/IM q6–12h OR Ceftriaxone 50 mg/kg IV/IM q24h) PLUS (Gentamicin OR Amikacin). Add Oxacillin (25–50 mg/kg q6–12h) OR Vancomycin (10 mg/kg/dose for bacteremia) if skin/soft tissue infections are present.","N/A","N/A","N/A","Avoid Ceftriaxone in jaundiced neonates due to the risk of kernicterus. Ceftriaxone must not be given with intravenous calcium. Use Ceftazidime (2nd line) if Pseudomonas is suspected."
"Blood-Borne & Systemic","Sepsis in Immunocompetent Children (No focus)","Ceftriaxone 100 mg/kg/day IV/IM div q12–24h (Max: 2–4 g/day ) OR Cefotaxime 200–225 mg/kg/day IV/IM div q4–6h (Max: 8–12 g/day ) WITH OR WITHOUT Oxacillin 150–200 mg/kg/day (Max: 4–12 g) OR Vancomycin 40–60 mg/kg/day (for MRSA).","N/A","N/A","N/A","Check immunization status against Pneumococcus and H. influenzae type b. Provide S. aureus coverage if there is concomitant trauma or skin infection."
"Blood-Borne & Systemic","Healthcare-Associated Sepsis (Pediatric)","Ceftazidime 150–200 mg/kg/day IV/IM div q8h OR Cefepime 100–150 mg/kg/day IV/IM div q8h OR Piperacillin-tazobactam 300 mg/kg/day div q6–8h OR Meropenem 60–120 mg/kg/day div q8h WITH OR WITHOUT Amikacin 15–22.5 mg/kg/day WITH OR WITHOUT Vancomycin 40–60 mg/kg/day.","N/A","N/A","N/A","Add an Aminoglycoside for severe infections with Pseudomonas or suspected resistance. Add Vancomycin if the patient had previous surgery or instrumentation."
"Blood-Borne & Systemic","Severe Sepsis and Septic Shock (Pediatric)","Infant (0–28 days): Ampicillin 50 mg/kg IV PLUS Cefotaxime 50 mg/kg IV PLUS Gentamicin 2.5 mg/kg IV (initial dose).","Child (>28 days): Cefotaxime 100 mg/kg IV initial dose (Max: 2 g) OR Ceftriaxone 75 mg/kg IV initial dose (Max: 2 g). Add Vancomycin 15 mg/kg IV (initial dose) if MRSA is suspected.","N/A","N/A","Administer the first dose within the 1st hour of presentation. Stabilization of airway breathing and rapid fluid resuscitation are mandatory."
"Blood-Borne & Systemic","Febrile Neutropenia (Pediatric)","Cefepime 150 mg/kg/day IV/IM div q8h OR Piperacillin-tazobactam 300 mg/kg/day IV div q6h OR Meropenem 60–120 mg/kg/day IV div q8h. Add Vancomycin (40–60 mg/kg/day) for suspected catheter infections or hemodynamic instability.","N/A","N/A","N/A","Continue treatment until the patient is afebrile and ANC >500 cells/uL. Consider empiric antifungal therapy if fever persists after 4–7 days of broad-spectrum antibacterials."
"Blood-Borne & Systemic","Sepsis in Adults (Source Unclear)","N/A","N/A","1st line: Piperacillin-tazobactam 4.5 g IV q6–8h PLUS Vancomycin 25–30 mg/kg loading dose then 1 g IV q8h.","2nd line: Meropenem 1 g IV q8h PLUS Vancomycin (same dose).","Initiate antibiotics within the 1st hour of recognition. Target a Mean Arterial Pressure (MAP) of >65 mmHg in patients on vasopressors."
"Blood-Borne & Systemic","Sepsis in Adults (Specific Sources)","N/A","N/A","Intra-abdominal Source: 1st line: Piperacillin-tazobactam 4.5 g IV q6–8h. 2nd line: Ceftriaxone 2 g IV q12h PLUS Metronidazole 1 g loading dose then 500 mg q6h.","Urinary Source: 1st line: Piperacillin-tazobactam 4.5 g IV q6–8h. 2nd line: Ceftriaxone 1 g IV q24h OR Ertapenem 1 g IV q24h. IV Drug Use Source: Vancomycin (25–30 mg/kg loading dose) PLUS Piperacillin-tazobactam 4.5 g IV q6–8h.","Use Ertapenem if there is a risk for ESBL-producing organisms."
